Al2O3_Bauxite;Fe2O3_Bauxite;T-SiO2_Bauxite;R-SiO2_Bauxite;TiO2_Bauxite;LOI_Bauxite;THA_Bauxite;Average_MC_RM;F-NaOH_Spend_Liquor;A/C_Spend_Liquor;SC_Spend_Liquor;F-NaOH_SLE_Outlet;A/C_SLE_Outlet;F-NaOH_BDH-P-102;A/C_BDH-P-102;F-NaOH_BOS;A/C_BOS;SiO2_BOS;SC_BOS;F-NaOH_PFS_Filtrate;A/C_PFS_Filtrate;F-NaOH_Pregnant_Liquor;A/C_Pregnant_Liquor;Na2CO3_Pregnant_Liquor;F/T-NaOH_Pregnant_Liquor
49.54625;15.6131;8.2413;3.37845;1.31425;26.97615;43.5893435;14.745;138.8;0.471;8.57;167;0.455;149.6;0.436;146.4;0.802;0.655;35.69;131.2;0.799;142;0.788;35.4;81.26411478
49.54625;15.6131;8.2413;3.37845;1.31425;26.97615;43.5893435;14.365;141;0.488;7.82;167;0.455;146.4;0.456;145.3;0.836;0.393;17.3;132.3;0.823;143.1;0.813;35.7;81.25243859
49.54625;15.6131;8.2413;3.37845;1.31425;26.97615;43.5893435;13.48;142;0.474;4.45;167;0.461;150.7;0.45;144.2;0.821;0.434;7.73;136.6;0.797;145.3;0.791;36.2;81.27436065
49.54625;15.6131;8.2413;3.37845;1.31425;26.97615;43.5893435;14.45;147.5;0.46;0.25;171.3;0.449;151.8;0.447;154;0.809;0.75;32;136.6;0.774;144.2;0.758;35.9;81.28524971
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;13.45;147.5;0.347;1.56;170.2;0.369;149.6;0.352;137.7;0.79;0.416;11.27;136.6;0.76;142;0.773;35.4;81.26262723
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;13.325;142;0.384;5.5;165.9;0.404;147.5;0.398;144.2;0.831;0.588;52.22;130.1;0.826;136.6;0.821;34;81.30019445
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;12.66;145.3;0.389;8.73;165.9;0.469;147.5;0.444;145.3;0.822;0.788;44.33;135.5;0.777;141;0.792;35.1;81.29209316
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;15.575;141;0.468;3.58;160.5;0.488;142;0.464;146.4;0.801;0.675;33.3;121.4;0.885;139.9;0.794;34.9;81.25325693
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;16.17;135.5;0.49;3.73;167;0.466;147.5;0.454;146.4;0.791;0.619;32.36;135.5;0.686;147.5;0.77;36.7;81.29573156
48.82025;16.308625;7.666925;3.248425;1.393275;26.699325;42.8981415;15.09;137.7;0.498;5.3;159.4;0.466;148.5;0.468;147.5;0.82;0.442;35.64;136.6;0.783;138.8;0.812;34.6;81.26956999
